time,Exc,Pre,_20,_50,_100,,Excf,Pref,_20f,_50f,_100f,,sExcf,sPref,s_20f,s_50f,s_100f
74,0.231438,0.103056,0.403053,0.426768,0.231438,,2.31438,1.03056,4.03053,4.26768,2.31438,,199.41183,207.16801,164.35963,151.16236,199.41183
75,0.214761,0.490739,0.404011,0.419134,0.214761,,2.14761,4.90739,4.04011,4.19134,2.14761,,201.55944,212.0754,168.39974,155.3537,201.55944
76,0.230294,0.069614,0.416516,0.405495,0.230294,,2.30294,0.69614,4.16516,4.05495,2.30294,,203.86238,212.77154,172.5649,159.40865,203.86238
77,0.228846,0.441027,0.393635,0.400234,0.228846,,2.28846,4.41027,3.93635,4.00234,2.28846,,206.15084,217.18181,176.50125,163.41099,206.15084
78,0.219764,0.025618,0.379046,0.391267,0.219764,,2.19764,0.25618,3.79046,3.91267,2.19764,,208.34848,217.43799,180.29171,167.32366,208.34848
79,0.141322,0.393758,0.366657,0.383847,0.141322,,1.41322,3.93758,3.66657,3.83847,1.41322,,209.7617,221.37557,183.95828,171.16213,209.7617
80,0.213604,0.027681,0.360077,0.361707,0.213604,,2.13604,0.27681,3.60077,3.61707,2.13604,,211.89774,221.65238,187.55905,174.7792,211.89774
81,0.213973,0.395856,-0.972702,0.360886,0.213973,,2.13973,3.95856,-9.72702,3.60886,2.13973,,214.03747,225.61094,177.83203,178.38806,214.03747
82,0.221275,0.037998,-0.413781,0.349395,0.221275,,2.21275,0.37998,-4.13781,3.49395,2.21275,,216.25022,225.99092,173.69422,181.88201,216.25022
83,0.157165,0.393642,-0.07577,0.340882,0.157165,,1.57165,3.93642,-0.7577,3.40882,1.57165,,217.82187,229.92734,172.93652,185.29083,217.82187
84,0.141565,0.045603,0.253437,0.333648,0.141565,,1.41565,0.45603,2.53437,3.33648,1.41565,,219.23752,230.38337,175.47089,188.62731,219.23752
85,0.152453,0.391308,0.424841,0.335481,0.152453,,1.52453,3.91308,4.24841,3.35481,1.52453,,220.76205,234.29645,179.7193,191.98212,220.76205
86,0.148548,0.041788,0.461814,0.331717,0.148548,,1.48548,0.41788,4.61814,3.31717,1.48548,,222.24753,234.71433,184.33744,195.29929,222.24753
87,0.141442,0.389442,0.425638,0.322062,0.141442,,1.41442,3.89442,4.25638,3.22062,1.41442,,223.66195,238.60875,188.59382,198.51991,223.66195
88,0.136683,0.044922,0.384745,0.305514,0.136683,,1.36683,0.44922,3.84745,3.05514,1.36683,,225.02878,239.05797,192.44127,201.57505,225.02878
89,0.098402,0.392013,0.532963,0.287397,0.098402,,0.98402,3.92013,5.32963,2.87397,0.98402,,226.0128,242.9781,197.7709,204.44902,226.0128
90,0.132425,0.042712,0.485348,0.30125,0.132425,,1.32425,0.42712,4.85348,3.0125,1.32425,,227.33705,243.40522,202.62438,207.46152,227.33705
91,0.194819,0.38834,0.452682,0.290085,0.194819,,1.94819,3.8834,4.52682,2.90085,1.94819,,229.28524,247.28862,207.1512,210.36237,229.28524
92,0.114107,0.041504,0.426839,0.272426,0.114107,,1.14107,0.41504,4.26839,2.72426,1.14107,,230.42631,247.70366,211.41959,213.08663,230.42631
93,0.144368,0.391986,0.400554,0.25094,0.144368,,1.44368,3.91986,4.00554,2.5094,1.44368,,231.86999,251.62352,215.42513,215.59603,231.86999
94,0.163676,0.040062,0.403263,0.274725,0.163676,,1.63676,0.40062,4.03263,2.74725,1.63676,,233.50675,252.02414,219.45776,218.34328,233.50675
95,0.090508,0.393462,0.403966,0.264198,0.090508,,0.90508,3.93462,4.03966,2.64198,0.90508,,234.41183,255.95876,223.49742,220.98526,234.41183
96,0.138052,0.042459,0.416647,0.248078,0.138052,,1.38052,0.42459,4.16647,2.48078,1.38052,,235.79235,256.38335,227.66389,223.46604,235.79235
97,0.06305,0.410747,0.393501,0.230566,0.06305,,0.6305,4.10747,3.93501,2.30566,0.6305,,236.42285,260.49082,231.5989,225.7717,236.42285
98,0.065441,0.051133,0.385099,0.219711,0.065441,,0.65441,0.51133,3.85099,2.19711,0.65441,,237.07726,261.00215,235.44989,227.96881,237.07726
99,0.1399,0.419078,0.369637,0.260362,0.1399,,1.399,4.19078,3.69637,2.60362,1.399,,238.47626,265.19293,239.14626,230.57243,238.47626
100,0.075321,0.06104,0.358672,0.24409,0.075321,,0.75321,0.6104,3.58672,2.4409,0.75321,,239.22947,265.80333,242.73298,233.01333,239.22947
101,0.059718,0.438901,-0.972827,-1.588719,-4.654023,,0.59718,4.38901,-9.72827,-15.88719,-46.54023,,239.82665,270.19234,233.00471,217.12614,192.68924
102,0.10282,0.0863,-0.410579,-0.708629,-2.248665,,1.0282,0.863,-4.10579,-7.08629,-22.48665,,240.85485,271.05534,228.89892,210.03985,170.20259
103,0.061247,0.47318,-0.071597,-0.189221,-1.047003,,0.61247,4.7318,-0.71597,-1.89221,-10.47003,,241.46732,275.78714,228.18295,208.14764,159.73256
104,0.04767,0.092714,0.255157,0.055306,-0.492382,,0.4767,0.92714,2.55157,0.55306,-4.92382,,241.94402,276.71428,230.73452,208.7007,154.80874
